,id,job_title,location,connection,fit,job_title_cleaned
54,55,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,senior vice presid chief human resourc offic market commun corpor social respon offic engi houston woodland energi global profession human resourc senior profession human resourc
55,56,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,human resourc coordin intercontinent buckhead atlanta
56,57,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,2019 ct bauer colleg busi graduat magna cum laud aspir human resourc profession
57,58,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,aspir human resourc profession
58,59,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,peopl develop coordin ryan
59,60,Aspiring Human Resources Specialist,Greater New York City Area,1,,aspir human resourc specialist
60,61,HR Senior Specialist,San Francisco Bay Area,500+ ,,human resourc senior specialist
61,62,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,,seek human resourc human resourc inform system generalist posit
62,63,Student at Chapman University,"Lake Forest, California",2,,student chapman univer
63,64,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,senior vice presid chief human resourc offic market commun corpor social respon offic engi houston woodland energi global profession human resourc senior profession human resourc
64,65,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,human resourc coordin intercontinent buckhead atlanta
65,66,Experienced Retail Manager and aspiring Human Resources Professional,"Austin, Texas Area",57,,experienc retail manag aspir human resourc profession
66,67,"Human Resources, Staffing and Recruiting Professional","Jackson, Mississippi Area",500+ ,,human resourc staf recruit profession
67,68,Human Resources Specialist at Luxottica,Greater New York City Area,500+ ,,human resourc specialist luxottica
68,69,"Director of Human Resources North America, Groupe Beneteau","Greater Grand Rapids, Michigan Area",500+ ,,director human resourc north america group beneteau
69,70,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources.","Virginia Beach, Virginia",82,,retir armi nation guard recruit offic manag seek posit human resourc
70,71,"Human Resources Generalist at ScottMadden, Inc.","Raleigh-Durham, North Carolina Area",500+ ,,human resourc generalist scottmadden inc
71,72,Business Management Major and Aspiring Human Resources Manager,"Monroe, Louisiana Area",5,,busi manag major aspir human resourc manag
72,73,"Aspiring Human Resources Manager, seeking internship in Human Resources.","Houston, Texas Area",7,,aspir human resourc manag seek internship human resourc
73,74,Human Resources Professional,Greater Boston Area,16,,human resourc profession
74,75,"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621","San Jose, California",500+ ,,nortia staf seek human resourc payrol administr professional ! ! 408 7092621
75,76,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment,"New York, New York",212,,aspir human resourc profession passion help creat inclus engag work environ
76,77,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation",Dallas/Fort Worth Area,409,,human resourc conflict manag polici procedurestal managementbenefit compen
77,78,Human Resources Generalist at Schwan's,Amerika Birleşik Devletleri,500+ ,,human resourc generalist schwan
78,79,Liberal Arts Major. Aspiring Human Resources Analyst.,"Baton Rouge, Louisiana Area",7,,liber art major aspir human resourc analyst
79,80,Junior MES Engineer| Information Systems,"Myrtle Beach, South Carolina Area",52,,junior manufactur execut system engin inform system
80,81,Senior Human Resources Business Partner at Heil Environmental,"Chattanooga, Tennessee Area",455,,senior human resourc busi partner heil environment
81,82,Aspiring Human Resources Professional | An energetic and Team-Focused Leader,"Austin, Texas Area",174,,aspir human resourc profession energet teamfocus leader
82,83,HR Manager at Endemol Shine North America,"Los Angeles, California",268,,human resourc manag endemol shine north america
83,84,Human Resources professional for the world leader in GIS software,"Highland, California",50,,human resourc profession world leader geograph inform system softwar
84,85,RRP Brand Portfolio Executive at JTI (Japan Tobacco International),Greater Philadelphia Area,500+ ,,reduc risk product brand portfolio execut jti japan tobacco intern
85,86,Information Systems Specialist and Programmer with a love for data and organization.,"Gaithersburg, Maryland",4,,inform system specialist programm love datum organ
86,87,Bachelor of Science in Biology from Victoria University of Wellington,"Baltimore, Maryland",40,,bachelor scienc biolog victoria univer wellington
87,88,Human Resources Management Major,"Milpitas, California",18,,human resourc manag major
88,89,Director Human Resources  at EY,Greater Atlanta Area,349,,director human resourc ey
89,90,Undergraduate Research Assistant at Styczynski Lab,Greater Atlanta Area,155,,undergradu research assist styczynski lab
90,91,Lead Official at Western Illinois University,Greater Chicago Area,39,,lead offici western illinoi univer
91,92,Seeking employment opportunities within Customer Service or Patient Care,"Torrance, California",64,,seek employ opportun custom servic patient care
92,93,Admissions Representative at Community medical center long beach,"Long Beach, California",9,,admiss repre commun medic center long beach
93,94,Seeking Human  Resources Opportunities. Open to travel and relocation.,Amerika Birleşik Devletleri,415,,seek human resourc opportun open travel reloc
94,95,Student at Westfield State University,"Bridgewater, Massachusetts",57,,student westfield state univer
95,96,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint","Lafayette, Indiana",19,,student indiana univers kokomo busi manag retail manag delphi hardwar paint
96,97,Aspiring Human Resources Professional,"Kokomo, Indiana Area",71,,aspir human resourc profession
97,98,Student,"Houston, Texas Area",4,,student
98,99,Seeking Human Resources Position,"Las Vegas, Nevada Area",48,,seek human resourc posit
99,100,Aspiring Human Resources Manager | Graduating May 2020 | Seeking an Entry-Level Human Resources Position in St. Louis,"Cape Girardeau, Missouri",103,,aspir human resourc manag graduat 2020 seek entrylevel human resourc posit st loui
100,101,Human Resources Generalist at Loparex,"Raleigh-Durham, North Carolina Area",500+ ,,human resourc generalist loparex
101,102,Business Intelligence and Analytics at Travelers,Greater New York City Area,49,,busi intellig analyt travel
102,103,Always set them up for Success,Greater Los Angeles Area,500+ ,,alway set success
103,104,Director Of Administration at Excellence Logging,"Katy, Texas",500+ ,,director administr excel log
